Qestion: What branch is <C:\Users\Hatim\Documents\GitHub\CST238_SoftwareTesting\cst236_lab1\test\git_utils_test.pyc>?	 | 	Answer: master	 | 	Time: 
Qestion: What is my name?	 | 	Answer: Your name is Hatim	 | 	Time: 
Qestion: What is your favorite color?	 | 	Answer: I don't know, please provide the answer	 | 	Time: 
Qestion: What is your favorite color?	 | 	Answer: My favorite color is black.	 | 	Time: 
Qestion: What is your favorite color?	 | 	Answer: I don't know, please provide the answer	 | 	Time: 
Qestion: What is your favorite color?	 | 	Answer: My new favorite color is red	 | 	Time: 
Qestion: What type of ryp triangle is 1 2 2?	 | 	Answer: isosceles	 | 	Time: 
Qestion: What type of triangle is 2 2 2?	 | 	Answer: equilateral	 | 	Time: 
Qestion: Hey are you?	 | 	Answer: Was that a question?	 | 	Time: 
Qestion: What type of triangle is 1 1 2?	 | 	Answer: isosceles	 | 	Time: 
Qestion: What type of 1 triangle is 1 2?	 | 	Answer: isosceles	 | 	Time: 
Qestion: What type of triangle is 4 5 2	 | 	Answer: Was that a question?	 | 	Time: 
Qestion: What kind of triangle is this?	 | 	Answer: I don't know, please provide the answer	 | 	Time: 
Qestion: What type of triangle is 1 2 3?	 | 	Answer: scalene	 | 	Time: 
Qestion: What type of triangle is 4 5 2 0x3F	 | 	Answer: Was that a question?	 | 	Time: 
Qestion: Whatareyoudoing?	 | 	Answer: Was that a question?	 | 	Time: 
Qestion: How is the day today?	 | 	Answer: I don't know, please provide the answer	 | 	Time: 
Qestion: How is the day today?	 | 	Answer: It's rainy today.	 | 	Time: 
Qestion: What is your favorite color?	 | 	Answer: I don't know, please provide the answer	 | 	Time: 
